strDrink,Ingredients,Measure,strInstructions
'57 Chevy with a White License Plate,"['Creme de Cacao', 'Vodka']","['1 oz white ', '1 oz ']",1. Fill a rocks glass with ice 2.add white creme de cacao and vodka 3.stir
1-900-FUK-MEUP,"['Absolut Kurant', 'Grand Marnier', 'Chambord raspberry liqueur', 'Midori melon liqueur', 'Malibu rum', 'Amaretto', 'Cranberry juice', 'Pineapple juice']","['1/2 oz ', '1/4 oz ', '1/4 oz ', '1/4 oz ', '1/4 oz ', '1/4 oz ', '1/2 oz ', '1/4 oz ']",Shake ingredients in a mixing tin filled with ice cubes. Strain into a rocks glass.
110 in the shade,"['Lager', 'Tequila']","['16 oz ', '1.5 oz ']",Drop shooter in glass. Fill with beer
151 Florida Bushwacker,"['Malibu rum', 'Light rum', '151 proof rum', 'Dark Creme de Cacao', 'Cointreau', 'Milk', 'Coconut liqueur', 'Vanilla ice-cream']","['1/2 oz ', '1/2 oz ', '1/2 oz Bacardi ', '1 oz ', '1 oz ', '3 oz ', '1 oz ', '1 cup ']",Combine all ingredients. Blend until smooth. Garnish with chocolate shavings if desired.
155 Belmont,"['Dark rum', 'Light rum', 'Vodka', 'Orange juice']","['1 shot ', '2 shots ', '1 shot ', '1 shot ']",Blend with ice. Serve in a wine glass. Garnish with carrot.
24k nightmare,"['Goldschlager', 'Jägermeister', 'Rumple Minze', '151 proof rum']","['1/2 oz ', '1/2 oz ', '1/2 oz ', '1/2 oz Bacardi ']","Add over ice,shake and pour."
252,"['151 proof rum', 'Wild Turkey']","['1/2 shot Bacardi ', '1/2 shot ']","Add both ingredients to shot glass, shoot, and get drunk quick"
3 Wise Men,"['Jack Daniels', 'Johnnie Walker', 'Jim Beam']","['1/3 oz ', '1/3 oz ', '1/3 oz ']",put them them in a glass... and slam it to tha head.
410 Gone,"['Peach Vodka', 'Coca-Cola']","['2-3 oz', nan]",
50/50,"['Vanilla vodka', 'Grand Marnier', 'Orange juice']","['2 1/2 oz ', '1 splash ', 'Fill with ']",fill glass with crushed ice. Add vodka. Add a splash of grand-marnier. Fill with o.j.
69 Special,"['Gin', '7-Up', 'Lemon juice']","['2 oz dry ', '4 oz ', '0.75 oz ']","Pour 2 oz. gin. Add 4 oz. 7-up. Add Lemon Juice for flavor. If you are weak, top up glass with more 7-Up."
747,"['Kahlua', ""Bailey's irish cream"", 'Frangelico']","['1/3 part ', '1/3 part ', '1/3 part ']","pour kaluha, then Baileys, then Frangelico not chilled and not layered -- SERVE!!!"
9 1/2 Weeks,"['Absolut Citron', 'Orange Curacao', 'Strawberry liqueur', 'Orange juice']","['2 oz ', '1/2 oz ', '1 splash ', '1 oz ']",Combine all ingredients in glass mixer. Chill and strain into Cocktail glass. Garnish with sliced strawberry.
A Day at the Beach,"['Coconut rum', 'Amaretto', 'Orange juice', 'Grenadine']","['1 oz ', '1/2 oz ', '4 oz ', '1/2 oz ']","Shake Rum, Amaretto, and Orange Juice in a shaker filled with ice. Strain over ice into a highball glass. Add Grenadine and garnish with a Pineapple Wedge and a Strawberry."
A Furlong Too Late,"['Light rum', 'Ginger beer', 'Lemon peel']","['2 oz ', '4 oz ', '1 twist of ']",Pour the rum and ginger beer into a highball glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.
A Gilligan's Island,"['Vodka', 'Peach schnapps', 'Orange juice', 'Cranberry juice']","['1 oz ', '1 oz ', '3 oz ', '3 oz ']","Shaken, not stirred!"
A Night In Old Mandalay,"['Light rum', 'Añejo rum', 'Orange juice', 'Lemon juice', 'Ginger ale', 'Lemon peel']","['1 oz ', '1 oz ', '1 oz ', '1/2 oz ', '3 oz ', '1 twist of ']","In a shaker half-filled with ice cubes, combine the light rum, añejo rum, orange juice, and lemon juice. Shake well. Strain into a highball glass almost filled with ice cubes. Top with the ginger ale. Garnish with the lemon twist."
A Splash of Nash,"['Cranberry juice', 'Soda water', 'Midori melon liqueur', 'Creme de Banane']","['2 oz ', '2 oz ', '0.5 oz ', '0.5 oz ']",Drop shot glass with banana & melon liquers into a 9 oz hi- ball glass containing soda water and cranberry juice. Drink in one shot.
A. J.,"['Applejack', 'Grapefruit juice']","['1 1/2 oz ', '1 oz ']","Shake ingredients with ice, strain into a cocktail glass, and serve."
A.D.M. (After Dinner Mint),"['White Creme de Menthe', 'Southern Comfort', 'Vodka', 'Hot chocolate']","['1/2 oz ', '3/4 oz ', '1/2 oz ', 'Fill with ']",shake vigorously
A1,"['Gin', 'Grand Marnier', 'Lemon Juice', 'Grenadine']","['1 3/4 shot ', '1 Shot ', '1/4 Shot', '1/8 Shot']","Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass."
ABC,"['Amaretto', ""Bailey's irish cream"", 'Cognac']","['1/3 ', '1/3 ', '1/3 ']",Layered in a shot glass.
ACID,"['151 proof rum', 'Wild Turkey']","['1 oz Bacardi ', '1 oz ']",Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.
AT&T,"['Absolut Vodka', 'Gin', 'Tonic water']","['1 oz ', '1 oz ', '4 oz ']","Pour Vodka and Gin over ice, add Tonic and Stir"
Abbey Cocktail,"['Gin', 'Orange bitters', 'Orange', 'Cherry']","['1 1/2 oz ', '1 dash ', 'Juice of 1/4 ', '1 ']",Shake all ingredients (except for the cherry) with ice and strain into a cocktail glass. Top with the cherry and serve.
Abbey Martini,"['Gin', 'Sweet Vermouth', 'Orange Juice', 'Angostura Bitters']","['2 shots ', '1 shot ', '1 shot ', '3 dashes ']","Put all ingredients into a shaker and mix, then strain contents into a chilled cocktail glass."
Abilene,"['Dark rum', 'Peach nectar', 'Orange juice']","['1 1/2 oz ', '2 oz ', '3 oz ']",Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.
Absinthe #2,"['Vodka', 'Sugar', 'Anise', 'Licorice root', 'Wormwood']","['1 bottle ', '50 gr ', '50 ml pure ', '1 tblsp ', '1 ']","Mix together and let sit a few days. Strain through a coffee filter. To serve mix 1 part absinthe to 4 parts water, add ice, enjoy."
Absolut Sex,"['Absolut Kurant', 'Midori melon liqueur', 'Cranberry juice', 'Sprite']","['3/4 oz ', '3/4 oz ', '1 oz ', '1 splash ']","Shake Absolut Kurant, Midori, and Cranberry juice in shaker with ice: Strain into rocks glass: Splash of seven on top.Absolut Sex."
Absolut Stress #2,"['Absolut Vodka', 'Peach schnapps', 'Coconut liqueur', 'Cranberry juice', 'Pineapple juice']","['1 1/2 oz ', '1/2 oz ', '1/2 oz ', '1 1/2 oz ', '1 1/2 oz ']",Mix well. Garnish with Orange and Cherry. Enjoy
Absolut Summertime,"['Absolut Citron', 'Sweet and sour', 'Sprite', 'Soda water', 'Lemon']","['1 1/2 oz ', '3/4 oz ', '1/2 oz ', '3 oz ', '1 slice ']",Add all ingredients except lemon to shaker filled with ice. Cover and shake vigorously. Strain contents into ice filled collins glass. Garnish with lemon.
Absolut limousine,"['Absolut Citron', 'Lime juice', 'Ice', 'Tonic water']","['2/3 ', '1/3 ', 'Fill with ', 'Top it up with ']",Fill Absolut into a glass. Add Lime juice. Add Ice and lime wedges.
Absolutely Cranberry Smash,"['Absolut Vodka', 'Cranberry juice', 'Ginger ale', 'Ice']","['2 oz ', '4 oz ', '2 oz ', 'Add ']",Stir ingredients together. Serve over ice.
Absolutely Fabulous,"['Vodka', 'Cranberry Juice', 'Champagne']","['1 shot ', '2 shots ', 'Top up with']",Mix the Vodka and Cranberry juice together in a shaker and strain into a glass. Top up with Champagne.
Absolutly Screwed Up,"['Absolut Citron', 'Orange juice', 'Triple sec', 'Ginger ale']","['1 shot ', '1 shot ', '1 shot ', 'Fill to top ']","Shake it up it tasts better that way, but you can stir it if you want. 6 of those and you will be wasted for the rest of the night."
Acapulco,"['Light rum', 'Triple sec', 'Lime juice', 'Sugar', 'Egg white', 'Mint']","['1 1/2 oz ', '1 1/2 tsp ', '1 tblsp ', '1 tsp ', '1 ', '1 ']",Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.
Ace,"['Gin', 'Grenadine', 'Heavy cream', 'Milk', 'Egg White']","['2 shots ', '1/2 shot ', '1/2 shot ', '1/2 shot ', '1/2 Fresh']",Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.
Adam,"['Dark rum', 'Lemon juice', 'Grenadine']","['2 oz ', '1 oz ', '1 tsp ']","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."
Adam & Eve,"['Gin', 'Cognac', 'Creme de Cassis', 'Fresh Lemon Juice']","['1 shot ', '1 shot ', '1 shot ', '1/8 shot ']",Shake together all the ingredients and strain into a cold glass.
Adam Sunrise,"['Vodka', 'Lemonade', 'Water', 'Sugar']","['1/2 ', '1/2 can ', '1/2 ', '10 tsp ']","Fill blender up with ice. Fill half with Bartons Vodka. Put 10 tsp of sugar, add 1/2 can lemonade concentrate, fill to top with water. Blend for 60 seconds."
Addington,"['Sweet Vermouth', 'Dry Vermouth', 'Soda Water']","['2 shots ', '1 shot ', 'Top up with\r\n']",Mix both the vermouth's in a shaker and strain into a cold glass. Top up with a squirt of Soda Water. 
Addison,"['Gin', 'Vermouth']","['1 1/2 shot ', '1 1/2 shot ']",Shake together all the ingredients and strain into a cold glass.
Addison Special,"['Vodka', 'Grenadine', 'Orange juice']","['1 shot ', '1 tblsp ', 'Fill with ']",Combine ingredients in the order listed into a shaker. Fill half full with ice and shake well. Strain into glass with ice and garnish with a cherry and orange wedge.
Adios Amigos Cocktail,"['Rum', 'Dry Vermouth', 'Cognac', 'Gin', 'Fresh Lime Juice', 'Sugar Syrup', 'Water']","['1 shot ', '1/2 shot ', '1/2 shot ', '1/2 shot ', '1/4 shot', '1/4 shot', '1/2 shot ']",Shake together all the ingredients and strain into a cold glass.
Adonis Cocktail,"['Sweet Vermouth', 'Sherry', 'Orange bitters']","['3/4 oz ', '1 1/2 oz dry ', '1 dash ']","Stir all ingredients with ice, strain contents into a cocktail glass, and serve."
Affinity,"['Scotch', 'Sweet Vermouth', 'Dry Vermouth', 'Orange bitters']","['1 1/2 oz ', '1 oz ', '1 oz ', '2 dashes ']","In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass."
After Dinner Cocktail,"['Apricot brandy', 'Triple sec', 'Lime', 'Lime']","['1 oz ', '1 oz ', 'Juice of 1 ', '1 ']",Shake all ingredients (except lime wedge) with ice and strain into a cocktail glass. Add the wedge of lime and serve.
After Supper Cocktail,"['Triple sec', 'Apricot brandy', 'Lemon juice']","['1 oz ', '1 oz ', '1/2 tsp ']","Shake all ingredients with ice, strain into a cocktail glass, and serve."
Afterglow,"['Grenadine', 'Orange juice', 'Pineapple juice']","['1 part ', '4 parts ', '4 parts ']",Mix. Serve over ice.
Alabama Slammer,"['Southern Comfort', 'Amaretto', 'Sloe gin', 'Lemon juice']","['1 oz ', '1 oz ', '1/2 oz ', '1 dash ']","Pour all ingredients (except for lemon juice) over ice in a highball glass. Stir, add a dash of lemon juice, and serve."
Alaska Cocktail,"['Orange bitters', 'Gin', 'Yellow Chartreuse', 'Lemon peel']","['2 dashes ', '1 1/2 oz ', '3/4 oz ', 'Twist of ']","Stir all ingredients with ice, strain contents into a cocktail glass. Drop in a twist of lemon and serve."
Alexander,"['Gin', 'Creme de Cacao', 'Light cream', 'Nutmeg']","['1/2 oz ', '1/2 oz white ', '2 oz ', nan]",Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.
Alfie Cocktail,"['Lemon vodka', 'Triple sec', 'Pineapple juice']","['1 1/2 oz ', '1 dash ', '1 tblsp ']","Combine and shake all ingredients with ice, strain into a cocktail glass, and serve."
Algonquin,"['Blended whiskey', 'Dry Vermouth', 'Pineapple juice']","['1 1/2 oz ', '1 oz ', '1 oz ']","Combine and shake all ingredients with ice, strain contents into a cocktail glass, and serve."
Alice Cocktail,"['Grenadine', 'Orange juice', 'Pineapple juice', 'Cream']","['1 cl ', '1 cl ', '2 cl ', '4 cl ']","Shake well, strain into a large cocktail glass."
Alice in Wonderland,"['Amaretto', 'Grand Marnier', 'Southern Comfort']","['1 shot ', '1 shot ', '1 shot ']",Just mix the three ingredients one to one to one
Allegheny,"['Dry Vermouth', 'Bourbon', 'Blackberry brandy', 'Lemon juice', 'Lemon peel']","['1 oz ', '1 oz ', '1 1/2 tsp ', '1 1/2 tsp ', '1 twist of ']",Shake all ingredients (except lemon peel) with ice and strain into a cocktail glass. Top with the twist of lemon peel and serve.
Allies Cocktail,"['Dry Vermouth', 'Gin', 'Kummel']","['1 oz ', '1 oz ', '1/2 tsp ']","Stir all ingredients with ice, strain contents into a cocktail glass, and serve."
Almeria,"['Dark rum', 'Kahlua', 'Egg white']","['2 oz ', '1 oz ', '1 ']","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."
Almond Chocolate Coffee,"['Amaretto', 'Dark Creme de Cacao', 'Coffee']","['3/4 oz ', '1/2 oz ', '8 oz ']",Pour in order into coffee cup. Top with whipped creme and chocolate shcvings.
Almond Joy,"['Amaretto', 'Creme de Cacao', 'Light cream']","['1/2 oz ', '1/2 oz white ', '2 oz ']","Shake all ingredients with ice, strain into a cocktail glass, and serve."
Aloha Fruit punch,"['Water', 'Ginger', 'Guava juice', 'Lemon juice', 'Pineapple', 'Sugar', 'Pineapple juice']","['3/4 cup ', '2 tsp ', '2 cups ', '1 1/2 tblsp ', '1 1/2 cup ', '1 cup ', '3-4 cups ']","Add 1/4 cup water to ginger root. Boil 3 minutes. Strain. Add the liquid to the guava, lemon and pineapple juices. Make a syrup of sugar and remaining water. Cool. Combine with juices and pineapple. Chill throroughly."
Amaretto And Cream,"['Amaretto', 'Light cream']","['1 1/2 oz ', '1 1/2 oz ']","Shake well with cracked ice, strain contents into a cocktail glass, and serve."
Amaretto Liqueur,"['Sugar', 'Water', 'Apricot', 'Almond flavoring', 'Grain alcohol', 'Water', 'Brandy', 'Food coloring', 'Food coloring', 'Food coloring', 'Glycerine']","['1 cup', '3/4 cup ', '2 ', '1 tblsp ', '1/2 cup pure ', '1/2 cup ', '1 cup ', '3 drops yellow ', '6 drops red ', '2 drops blue ', '1/2 tsp ']","Combine sugar and 3/4 cup water in a small saucepan. Bring to a boil, stirring constantly. Reduce heat and simmer until all sugar is dissolved. Remove from heat and cool. In an aging container, combine apricot halves, almond extract, grain alcohol with 1/2 cup water, and brandy. Stir in cooled sugar syrup mixture. Cap and let age for 2 days. Remove apricot halves. (Save apricot halves, can be used for cooking). Add food coloring and glycerine. Stir, recap and continue aging for 1 to 2 months. Re-bottle as desired. Liqueur is ready to serve but will continue to improve with additional aging."
Amaretto Mist,"['Amaretto', 'Lime']","['1 1/2 oz ', '1 ']","Pour amaretto in an old-fashioned glass over crushed ice. Add the wedge of lime and serve. (A wedge of lemon may be substituted for lime, if preferred.)"
Amaretto Shake,"['Chocolate ice-cream', 'Brandy', 'Amaretto']","['2 scoops ', '2 oz ', '2 oz ']",Combine all ingredients in a blender and blend at high speed until smooth. Serve in chilled glass garnished with bittersweet chocolate shavings.
Amaretto Sour,"['Amaretto', 'Sour mix']","['1 1/2 oz ', '3 oz ']",Shake and strain. Garnish with a cherry and an orange slice.
Amaretto Stinger,"['Amaretto', 'White Creme de Menthe']","['1 1/2 oz ', '3/4 oz ']","Shake ingredients well with cracked ice, strain into a cocktail glass, and serve."
Amaretto Stone Sour,"['Amaretto', 'Sour mix', 'Orange juice']","['1 part ', '1 part ', '1 part ']",Shake and Serve over ice
Amaretto Stone Sour #3,"['Sour mix', 'Amaretto', 'Tequila', 'Orange juice']","['2 oz ', '2 oz ', '2 oz ', 'Add splash ']","Shake sour mix, tequila and amaretto with ice. Strain into highball glass. Add a splash of OJ. Garnish with orange slice and a cherry."
Amaretto Sunrise,"['Amaretto', 'Orange juice', 'Grenadine']","['1 cl ', '4 oz ', '1/4 cl ']",Mix together the amaretto and orange juice. Pour into glass and then add the grenadine untill you see the sunrise.
Amaretto Sunset,"['Triple sec', 'Amaretto', 'Cider', 'Ice']","['1/2 jigger ', '3 shots ', '1/2 cup ', 'Add 1/2 cup ']","Shake ingredients in bartender's mixer quickly, just 5 shakes. Strain out ice, serve in glass immediately with a slice of orange."
Amaretto Tea,"['Tea', 'Amaretto', 'Whipped cream']","['6 oz hot ', '2 oz ', 'Chilled ']","Pour hot tea into a pousse-cafe glass, using a spoon in glass to prevent cracking. Add amaretto, but do not stir. Top with chilled whipped cream and serve."
Americano,"['Campari', 'Sweet Vermouth', 'Lemon peel', 'Orange peel']","['1 oz ', '1 oz red ', 'Twist of ', 'Twist of ']","Pour the Campari and vermouth over ice into glass, add a splash of soda water and garnish with half orange slice."
Angel Face,"['Apricot brandy', 'Apple brandy', 'Gin']","['1/2 oz ', '1/2 oz ', '1 oz ']",Shake all ingredients with ice and strain contents into a cocktail glass.
Angelica Liqueur,"['Angelica root', 'Almond', 'Allspice', 'Cinnamon', 'Anise', 'Coriander', 'Marjoram leaves', 'Vodka', 'Sugar', 'Water', 'Food coloring', 'Food coloring']","['3 tblsp chopped', '1 tblsp chopped ', '1 cracked ', '1 one-inch ', '3-6 crushed ', '1/8 tsp powdered ', '1 tblsp fresh chopped ', '1.5 cup ', '1/2 cup granulated ', '1/4 cup ', '1 drop yellow ', '1 drop green ']","Combine all herbs, nuts and spices with vodka in a 1 quart or larger aging container. Cap tightly and shake daily for 2 weeks. Strain through a fine muslin cloth or coffee filter, discarding solids. Clean out aging container. Place liquid back in container. Place sugar and water in saucepan and stir to combine over medium heat. When sugar is completely dissolved, set aside and let cool. When cool combine with food coloring and add to liqueur liquid. Cap and allow to age and mellow in a cool, dark place for one month."
Apello,"['Orange juice', 'Grapefruit juice', 'Apple juice', 'Maraschino cherry']","['4 cl ', '3 cl ', '1 cl ', '1 ']",Stirr. Grnish with maraschino cherry.
Apple Berry Smoothie,"['Berries', 'Apple']","['1 cup ', '2 ']",Throw everything into a blender and liquify.
Apple Cider Punch #1,"['Apple cider', 'Brown sugar', 'Lemonade', 'Orange juice', 'Cloves', 'Allspice', 'Nutmeg', 'Cinnamon']","['4 qt ', '1 cup ', '6 oz frozen ', '6 oz frozen ', '6 whole ', '6 whole ', '1 tsp ground ', '3 sticks ']","If you use the whole all spice and cloves, tie them in cheesecloth. Heat the mixture. Stir occasionally. If you want an alcoholic drink, rum would be nice."
Apple Grande,"['Tequila', 'Apple cider']","['3 oz ', '12 oz ']",Chill both ingredients!! Mix in a tumbler and enjoy!
Apple Karate,"['Apple juice', 'Carrot']","['2 cups ', '1 large ']","Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up."
Apple Pie with A Crust,"['Apple juice', 'Malibu rum', 'Cinnamon']","['3 parts ', '1 part ', '3 dashes ']",Just mix the two liquids and sprinkle in the cinnamon. Serve either cold or heated.
Apple Slammer,"['7-Up', 'Apple schnapps']","['1 part ', '1 part ']","pour into a shot glass and present to consumer, they are expected to cover the top of the shotglass with thier palm, raise the glass, slam it on the bar and the swallow quickly."
Applecar,"['Applejack', 'Triple sec', 'Lemon juice']","['1 oz ', '1 oz ', '1 oz ']","Shake all ingredients with ice, strain into a cocktail glass, and serve."
Applejack,"['Jack Daniels', 'Midori melon liqueur', 'Sour mix']","['1 oz ', '1/2 oz ', '2 oz ']","Add all ingredients into mixing glass, chill and strain into cocktail glass"
Apricot Lady,"['Light rum', 'Apricot brandy', 'Triple sec', 'Lemon juice', 'Egg white', 'Orange']","['1 1/2 oz ', '1 oz ', '1 tsp ', '1/2 oz ', '1 ', '1 ']","In a shaker half-filled with ice cubes, combine the rum, apricot brandy, triple sec, lemon juice, and egg white. Shake well. Strain into an old-fashioned glass almost filled with ice cubes. Garnish with the orange slice."
Apricot punch,"['Apricot brandy', 'Champagne', 'Vodka', '7-Up', 'Orange juice']","['1 qt ', '4 fifth ', '1 fifth ', '4 L ', '1/2 gal ']",Pour all ingrediants into a large punch bowl. Add ice and 4 oranges that are peeled and divided.
Archbishop,"['Gin', 'Wine', 'Benedictine', 'Lime']","['2 oz ', '1 oz Green Ginger ', '1 tsp ', '1 ']","In an old-fashioned glass almost filled with ice cubes, combine all of the ingredients. Stir well."
Arctic Fish,"['Vodka', 'Grape soda', 'Orange juice', 'Ice', 'Candy']","['1/3 part ', '1/3 part ', '1/3 part ', 'lots ', '1 dash ']","Fill glass with ice and fish, add vodka, grape soda and orange juice. DO NOT STIR!!!!! Serve well chilled."
Arctic Mouthwash,"['Maui', 'Mountain Dew', 'Ice']","['5 oz blue ', '5 oz ', ' cubes\n']",Blend all ingredients in a blender on high until ice is finely crushed. It should be of a slushy consistency. Pour immediately and serve.
Arise My Love,"['Champagne', 'Green Creme de Menthe']","['Chilled ', '1 tsp ']",Put creme de menthe into a champagne flute. Fill with chilled champagne and serve.
Arizona Antifreeze,"['Vodka', 'Midori melon liqueur', 'Sweet and sour']","['1/3 oz ', '1/3 oz ', '1/3 oz ']",Pour all ingredients into shot glass and slam !!!!
Arizona Stingers,"['Absolut Vodka', 'Iced tea']","['2 shots ', '12 oz lemon ']",Place ice cubes in the hurricane glass . Add the 2 HEAPING shots of Absolute Vodka (Note: You can add as many shots of Absolute as you want!) Fill the rest of glass with the Arizona Icetea with lemon. Stir to mix using a spoon. Drink up and enjoy!!!!!!!
Arizona Twister,"['Vodka', 'Malibu rum', 'Gold tequila', 'Orange juice', 'Pineapple juice', 'Cream of coconut', 'Grenadine', 'Ice', 'Pineapple']","['1 shot ', '1 shot ', '1 shot ', '1 splash ', '1 splash ', '1 splash ', '1 dash ', 'crushed ', '1 wedge ']","Just mix in the shots of rum, vodka, and tequila. Add splashes of the three juices, heavy on the pineapple. Top off with grenadine. Crushed ice should already be in glass. Top off the glass with a pineapple wedge."
Army special,"['Vodka', 'Gin', 'Lime juice cordial', 'Ice']","['30 ml ', '30 ml ', '45 ml ', '1/2 glass crushed ']","Pour Vodka, Gin and lime cordial into glass, and top up with crushed ice. Wait for ice to melt slightly and sip without a straw."
Arthur Tompkins,"['Gin', 'Grand Marnier', 'Lemon juice', 'Lemon peel']","['2 oz ', '1/2 oz ', '2 tsp ', '1 twist of ']","In a shaker half-filled with ice cubes, combine the gin, Grand Marnier, and lemon juice. Shake well. Strain into a sour glass and garnish with the lemon twist."
Artillery,"['Sweet Vermouth', 'Gin', 'Bitters']","['1 1/2 tsp ', '1 1/2 oz ', '2 dashes ']","Stir all ingredients with ice, strain into a cocktail glass, and serve."
Artillery Punch,"['Tea', 'Rye whiskey', 'Red wine', 'Rum', 'Brandy', 'Benedictine', 'Orange juice', 'Lemon juice']","['1 quart black ', '1 quart ', '1 fifth ', '1 pint Jamaican ', '1/2 pint ', '1 1/2 oz ', '1 pint ', '1/2 pint ']","Combine all the ingredients in a large punch bowl with a block of ice. If found too dry, sugar syrup may be added. Decorate with twists of lemon peel."
Atlantic Sun,"['Vodka', 'Southern Comfort', 'Passion fruit syrup', 'Sweet and sour', 'Club soda']","['2 cl Smirnoff ', '2 cl ', '2 cl ', '6 cl ', '1 dash ']","Shake all the ingredients, top the drink with soda. Garnish with a slice of orange."
Auburn Headbanger,"['Jägermeister', 'Goldschlager']","['1 oz ', '1 oz ']",Mix in spread glass over ice. Strain and pour in shot glass. Sit down before shotting. ENJOY!!
Avalanche,"['Crown Royal', 'Kahlua', 'Cream']","['1 shot ', '1 shot ', 'Fill with ']","Mix in highball glass over ice, shake well."
Aviation,"['Gin', 'lemon juice', 'maraschino liqueur']","['4.5 cl', '1.5 cl', '1.5 cl']",Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.
Aztec Punch,"['Lemonade', 'Vodka', 'Rum', 'Ginger ale']","['1 can ', '5 oz ', '7 oz ', 'About 1 bottle ']","Mix all ingredients in a pitcher. Mix thoroughly and pour into whatever is available, the bigger the better! This drink packs a big punch, so don't over do it."
B-52,"[""Bailey's irish cream"", 'Grand Marnier', 'Kahlua']","['1/3 ', '1/3 ', '1/4 ']",Layer ingredients into a shot glass. Serve with a stirrer.
B-53,"['Kahlua', 'Sambuca', 'Grand Marnier']","['1/3 shot ', '1/3 shot ', '1/3 shot ']","Layer the Kahlua, Sambucca and Grand Marnier into a shot glas in that order. Better than B-52"
Baby Eskimo,"['Kahlua', 'Milk', 'Vanilla ice-cream']","['2 oz ', '8 oz ', '2 scoops ']","Leave ice-cream out for about 10 minutes. Add ingredients in order, stir with chopstick (butter knife or spoon works too). Consume immediately and often. Nice and light, great for following a heavy drink."
Baby Guinness,"['Kahlua', ""Bailey's irish cream""]","['2 1/2 oz ', '1/2 oz ']","Pour Kahlua, almost filling shot glass. Then, carefully pour Baileys, using wall of shot glass. This will give the ""Guinness"" its ""head""."
Bacardi Cocktail,"['Light rum', 'Lime juice', 'Sugar syrup', 'Grenadine']","['1 3/4 oz Bacardi ', '1 oz ', '1/2 tsp ', '1 dash ']",Shake together with ice. Strain into glass and serve.
Balmoral,"['Scotch', 'Sweet Vermouth', 'Dry Vermouth', 'Bitters']","['1 1/2 oz ', '1/2 oz ', '1/2 oz ', '2 dashes ']","In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass."
Banana Cantaloupe Smoothie,"['Cantaloupe', 'Banana']","['Juice of 1/2 ', '1 ']","Juice cantaloupe, pour juice into blender, add banana, and liquify."
Banana Daiquiri,"['Light rum', 'Triple sec', 'Banana', 'Lime juice', 'Sugar', 'Cherry']","['1 1/2 oz ', '1 tblsp ', '1 ', '1 1/2 oz ', '1 tsp ', '1 ']",Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.
Banana Milk Shake,"['Milk', 'Orange juice', 'Sugar syrup', 'Banana']","['10 cl cold ', '4 cl ', '2 tsp ', '1/2 ']","Blend very well, preferably in a household mixer. Serve in a wine glass, garnish with whipped cream and a piece of banana."
Banana Strawberry Shake,"['Strawberries', 'Banana', 'Yoghurt', 'Milk', 'Honey']","['1/2 lb frozen ', '1 frozen ', '1 cup plain ', '1 cup ', ' to taste\n']",Blend all together in a blender until smooth.
Banana Strawberry Shake Daiquiri-type,"['Strawberries', 'Banana', 'Apple juice']","['1/2 lb frozen ', '1 frozen ', '2 cups fresh ']",Blend all together in a blender until smooth.
Barracuda,"['Rum', 'Galliano', 'Pineapple Juice', 'Lime Juice', 'Prosecco']","['4.5 cl', '1.5 cl', '6 cl', ' 1 dash', 'top up ']","Shake pour ingredients with ice. Strain into glass, top with Sparkling wine."
Belgian Blue,"['Vodka', 'Coconut liqueur', 'Blue Curacao', 'Sprite']","['2 cl ', '1 cl ', '1 cl ', 'Fill with ']",Just pour all ingredients in the glass and stir...
Bellini,"['Champagne', 'Peach schnapps']","['6 oz ', '1 oz ']","Pour peach purée into chilled flute, add sparkling wine. Stir gently."
Bellini Martini,"['Ice', 'Vodka', 'Peach nectar', 'Peach schnapps', 'Lemon peel']","['8 cubes ', '3 oz ', '1.5 oz ', '1.5 oz ', '1 ']","Add ice cubes to shaker.
Add vodka.
Add peach schnapps.
Add peach nectar.
Shake.
Strain into glass.
Add lemon twist peel."
Berry Deadly,"['Everclear', 'Wine', 'Orange juice', 'Kool-Aid']","['2 pint ', '1 bottle Boone Strawberry Hill ', '1/2 gal ', '1 gal Tropical Berry ']",Add all ingredients to large bowl. Stir gently. Serve chilled.
Between The Sheets,"['Brandy', 'Light rum', 'Triple sec', 'Lemon juice']","['1 oz ', '1 oz ', '1 oz ', '1 oz ']","Pour all ingredients into shaker with ice cubes, shake, strain into chilled cocktail glass."
Bible Belt,"['Southern Comfort', 'Triple sec', 'Lime', 'Sour mix']","['2 oz ', '1/2 oz ', '2 wedges ', '2 oz ']","Mix all ingredients, and pour over ice."
