strDrink,Ingredients,Measure,strInstructions
Sidecar Cocktail,"['Brandy', 'Triple sec', 'Lemon']","['1 oz ', '1/2 oz ', 'Juice of 1/4 ']","Shake all ingredients with ice, strain into a cocktail glass, and serve."
Singapore Sling,"['Cherry brandy', 'Grenadine', 'Gin', 'Sweet and sour', 'Carbonated water', 'Cherry']","['1/2 oz ', '1/2 oz ', '1 oz ', '2 oz ', nan, nan]",Pour all ingredients into cocktail shaker filled with ice cubes. Shake well. Strain into highball glass. Garnish with pineapple and cocktail cherry.
Sloe Gin Cocktail,"['Sloe gin', 'Dry Vermouth', 'Orange bitters']","['2 oz ', '1/4 tsp ', '1 dash ']","Stir all ingredients with ice, strain into a cocktail glass, and serve."
Smut,"['Red wine', 'Peach schnapps', 'Pepsi Cola', 'Orange juice']","['1/3 part ', '1 shot ', '1/3 part ', '1/3 part ']",Throw it all together and serve real cold.
Snake Bite (UK),"['Lager', 'Cider']","['1/2 pint ', '1/2 pint sweet or dry ']",Pour ingredients into a pint glass. Drink. Fall over.
Snakebite and Black,"['Lager', 'Cider', 'Blackcurrant squash']","['1/2 pint ', '1/2 pint ', 'A little bit of ']",Put blackcurrant squash in first up to about 1cm in glass. Then add the larger and cider one after another.
Snowball,"['Advocaat', 'Lemonade', 'Lemon', 'Ice']","['1 1/2 oz ', '8-10 oz cold ', '1 slice ', ' cubes\n']",Place one ice cube in the glass and add 1 1/2 oz of Advocaat. Fill up the glass with lemonade and decorate with a slice of lemon. Serve at once.
Sol Y Sombra,"['Brandy', 'Anisette']","['1 1/2 oz ', '1 1/2 oz ']","Shake ingredients with ice, strain into a brandy snifter, and serve. (The English translation of the name of this drink is ""Sun and Shade"", and after sampling this drink, you'll understand why. Thanks, Kirby.)"
Spanish chocolate,"['Milk', 'Chocolate', 'Cinnamon', 'Egg yolk']","['2 cups ', '2 oz sweet ', '1/2 tsp ', '2 beaten ']","Stir the milk with the chocolate and the cinnamon over low heat until the chocolate dissolves. Add the eggs and beat the mixture until it becomes thick, taking care not to boil. Serve in coffee mug."
Spiced Peach Punch,"['Peach nectar', 'Orange juice', 'Brown sugar', 'Cinnamon', 'Cloves', 'Lime juice']","['46 oz ', '20 oz ', '1/2 cup ', '3 3-inch ', '1/2 tsp ', '2 tblsp ']","Combine peach nectar, orange juice and brown sugar in a large saucepan. Tie cinnamon and cloves in a small cheesecloth bag. Drop into saucepan. Heat slowly, stirring constantly, until sugar dissolves. Simmer 10 minutes. Stir in lime juice. Serve in hot mugs."
Spritz,"['Prosecco', 'Campari', 'Soda Water']","['6 cl', '4 cl', 'splash']","Build into glass over ice, garnish and serve."
Stinger,"['Brandy', 'White Creme de Menthe']","['1 1/2 oz ', '1/2 oz ']","Pour in a mixing glass with ice, stir and strain into a cocktail glass. May also be served on rocks in a rocks glass."
Stone Sour,"['Apricot brandy', 'Orange juice', 'Sweet and sour']","['1 oz ', '1 oz ', '1 oz ']","Shake all ingredients with ice, strain into a chilled whiskey sour glass, and serve."
Strawberry Daiquiri,"['Strawberry schnapps', 'Light rum', 'Lime juice', 'Powdered sugar', 'Strawberries']","['1/2 oz ', '1 oz ', '1 oz ', '1 tsp ', '1 oz ']",Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.
Strawberry Lemonade,"['Lemon', 'Sugar', 'Strawberries', 'Water']","['Juice of 1 ', '1 tblsp ', '8-10 ripe ', '1 cup ']",Throw everything into a blender and mix until fairly smooth. Serve over ice.
Strawberry Shivers,"['Strawberries', 'Honey', 'Water']","['1 1/2 cup ', '4 tsp ', '1/2 cup ']","Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up."
Sunny Holiday Punch,"['Pineapple juice', 'Club soda', 'Orange juice', 'Lemon', 'Berries', 'Champagne']","['46 oz chilled ', '28 oz ', '6 oz frozen ', '1 ', '2 cups ', '1 bottle ']",Combine all ingredients in a punch bowl.
Surf City Lifesaver,"['Ouzo', ""Bailey's irish cream"", 'Gin', 'Grand Marnier']","['1 part ', '1 part ', '2 parts ', '1/2 part ']",Lots of ice and soda top up in tall glass with cherry and a grin.
Swedish Coffee,"['Coffee', 'Aquavit', 'Sugar']","['1 cup', '4 cl ', 'By taste ']",Pour the coffee in an ordinary coffee cup. Add the aquavit. Add sugar by taste. Stir and have a nice evening (morning)
Sweet Bananas,"['Milk', 'Banana', 'Honey']","['2 cups ', '1 ', '1 tblsp ']","Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up."
Talos Coffee,"['Grand Marnier', 'Coffee']","['3 parts ', '1 part ']",Add your GM and then add your coffee.
Tequila Sour,"['Tequila', 'Lemon', 'Powdered sugar', 'Lemon', 'Cherry']","['2 oz ', 'Juice of 1/2 ', '1 tsp ', '1/2 slice ', '1 ']","Shake tequila, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Add the half-slice of lemon, top with the cherry, and serve."
Tequila Sunrise,"['Tequila', 'Orange juice', 'Grenadine']","['2 measures ', nan, nan]","Pour the tequila and orange juice into glass over ice. Add the grenadine, which will sink to the bottom. Stir gently to create the sunrise effect. Garnish and serve."
Tequila Surprise,"['Tequila', 'Tabasco sauce']","['full glass ', 'About 8 drops ']",Fill shot glass with Tequila. Add drops of Tobasco sauce.
Texas Rattlesnake,"['Yukon Jack', 'Cherry brandy', 'Southern Comfort', 'Sweet and sour']","['1 part ', '1/2 part ', '1 part ', '1 splash ']","Mix all ingredients and Shake well. Sweet at first, with a BITE at the end..."
